Date,Day of Week,Dish Name,Hour,Quantity
2024-12-01,Sunday,Spaghetti Bolognese,0,0
2024-12-01,Sunday,Caesar Salad,0,0
2024-12-01,Sunday,Margherita Pizza,0,0
2024-12-01,Sunday,Chicken Curry,0,0
2024-12-01,Sunday,Grilled Salmon,0,0
2024-12-01,Sunday,Beef Burger,0,0
2024-12-01,Sunday,Vegan Wrap,0,0
2024-12-01,Sunday,Eggplant Parmesan,0,0
2024-12-01,Sunday,Pasta Primavera,0,0
2024-12-01,Sunday,Chicken Alfredo,0,0
2024-12-01,Sunday,Spaghetti Bolognese,1,0
2024-12-01,Sunday,Caesar Salad,1,0
2024-12-01,Sunday,Margherita Pizza,1,0
2024-12-01,Sunday,Chicken Curry,1,0
2024-12-01,Sunday,Grilled Salmon,1,0
2024-12-01,Sunday,Beef Burger,1,0
2024-12-01,Sunday,Vegan Wrap,1,0
2024-12-01,Sunday,Eggplant Parmesan,1,0
2024-12-01,Sunday,Pasta Primavera,1,0
2024-12-01,Sunday,Chicken Alfredo,1,0
2024-12-01,Sunday,Spaghetti Bolognese,2,0
2024-12-01,Sunday,Caesar Salad,2,0
2024-12-01,Sunday,Margherita Pizza,2,0
2024-12-01,Sunday,Chicken Curry,2,0
2024-12-01,Sunday,Grilled Salmon,2,0
2024-12-01,Sunday,Beef Burger,2,0
2024-12-01,Sunday,Vegan Wrap,2,0
2024-12-01,Sunday,Eggplant Parmesan,2,0
2024-12-01,Sunday,Pasta Primavera,2,0
2024-12-01,Sunday,Chicken Alfredo,2,0
2024-12-01,Sunday,Spaghetti Bolognese,3,0
2024-12-01,Sunday,Caesar Salad,3,0
2024-12-01,Sunday,Margherita Pizza,3,0
2024-12-01,Sunday,Chicken Curry,3,0
2024-12-01,Sunday,Grilled Salmon,3,0
2024-12-01,Sunday,Beef Burger,3,0
2024-12-01,Sunday,Vegan Wrap,3,0
2024-12-01,Sunday,Eggplant Parmesan,3,0
2024-12-01,Sunday,Pasta Primavera,3,0
2024-12-01,Sunday,Chicken Alfredo,3,0
2024-12-01,Sunday,Spaghetti Bolognese,4,0
2024-12-01,Sunday,Caesar Salad,4,0
2024-12-01,Sunday,Margherita Pizza,4,0
2024-12-01,Sunday,Chicken Curry,4,0
2024-12-01,Sunday,Grilled Salmon,4,0
2024-12-01,Sunday,Beef Burger,4,0
2024-12-01,Sunday,Vegan Wrap,4,0
2024-12-01,Sunday,Eggplant Parmesan,4,0
2024-12-01,Sunday,Pasta Primavera,4,0
2024-12-01,Sunday,Chicken Alfredo,4,0
2024-12-01,Sunday,Spaghetti Bolognese,5,0
2024-12-01,Sunday,Caesar Salad,5,0
2024-12-01,Sunday,Margherita Pizza,5,0
2024-12-01,Sunday,Chicken Curry,5,0
2024-12-01,Sunday,Grilled Salmon,5,0
2024-12-01,Sunday,Beef Burger,5,0
2024-12-01,Sunday,Vegan Wrap,5,0
2024-12-01,Sunday,Eggplant Parmesan,5,0
2024-12-01,Sunday,Pasta Primavera,5,0
2024-12-01,Sunday,Chicken Alfredo,5,0
2024-12-01,Sunday,Spaghetti Bolognese,6,0
2024-12-01,Sunday,Caesar Salad,6,0
2024-12-01,Sunday,Margherita Pizza,6,0
2024-12-01,Sunday,Chicken Curry,6,0
2024-12-01,Sunday,Grilled Salmon,6,0
2024-12-01,Sunday,Beef Burger,6,0
2024-12-01,Sunday,Vegan Wrap,6,0
2024-12-01,Sunday,Eggplant Parmesan,6,0
2024-12-01,Sunday,Pasta Primavera,6,0
2024-12-01,Sunday,Chicken Alfredo,6,0
2024-12-01,Sunday,Spaghetti Bolognese,7,0
2024-12-01,Sunday,Caesar Salad,7,0
2024-12-01,Sunday,Margherita Pizza,7,0
2024-12-01,Sunday,Chicken Curry,7,0
2024-12-01,Sunday,Grilled Salmon,7,0
2024-12-01,Sunday,Beef Burger,7,0
2024-12-01,Sunday,Vegan Wrap,7,0
2024-12-01,Sunday,Eggplant Parmesan,7,0
2024-12-01,Sunday,Pasta Primavera,7,0
2024-12-01,Sunday,Chicken Alfredo,7,0
2024-12-01,Sunday,Spaghetti Bolognese,8,0
2024-12-01,Sunday,Caesar Salad,8,0
2024-12-01,Sunday,Margherita Pizza,8,0
2024-12-01,Sunday,Chicken Curry,8,0
2024-12-01,Sunday,Grilled Salmon,8,0
2024-12-01,Sunday,Beef Burger,8,0
2024-12-01,Sunday,Vegan Wrap,8,0
2024-12-01,Sunday,Eggplant Parmesan,8,0
2024-12-01,Sunday,Pasta Primavera,8,0
2024-12-01,Sunday,Chicken Alfredo,8,0
2024-12-01,Sunday,Spaghetti Bolognese,9,2
2024-12-01,Sunday,Caesar Salad,9,6
2024-12-01,Sunday,Margherita Pizza,9,1
2024-12-01,Sunday,Chicken Curry,9,6
2024-12-01,Sunday,Grilled Salmon,9,3
2024-12-01,Sunday,Beef Burger,9,7
2024-12-01,Sunday,Vegan Wrap,9,7
2024-12-01,Sunday,Eggplant Parmesan,9,4
2024-12-01,Sunday,Pasta Primavera,9,3
2024-12-01,Sunday,Chicken Alfredo,9,2
2024-12-01,Sunday,Spaghetti Bolognese,10,7
2024-12-01,Sunday,Caesar Salad,10,3
2024-12-01,Sunday,Margherita Pizza,10,5
2024-12-01,Sunday,Chicken Curry,10,8
2024-12-01,Sunday,Grilled Salmon,10,4
2024-12-01,Sunday,Beef Burger,10,2
2024-12-01,Sunday,Vegan Wrap,10,7
2024-12-01,Sunday,Eggplant Parmesan,10,6
2024-12-01,Sunday,Pasta Primavera,10,7
2024-12-01,Sunday,Chicken Alfredo,10,6
2024-12-01,Sunday,Spaghetti Bolognese,11,13
2024-12-01,Sunday,Caesar Salad,11,12
2024-12-01,Sunday,Margherita Pizza,11,11
2024-12-01,Sunday,Chicken Curry,11,17
2024-12-01,Sunday,Grilled Salmon,11,12
2024-12-01,Sunday,Beef Burger,11,14
2024-12-01,Sunday,Vegan Wrap,11,15
2024-12-01,Sunday,Eggplant Parmesan,11,18
2024-12-01,Sunday,Pasta Primavera,11,13
2024-12-01,Sunday,Chicken Alfredo,11,9
2024-12-01,Sunday,Spaghetti Bolognese,12,7
2024-12-01,Sunday,Caesar Salad,12,14
2024-12-01,Sunday,Margherita Pizza,12,18
2024-12-01,Sunday,Chicken Curry,12,7
2024-12-01,Sunday,Grilled Salmon,12,20
2024-12-01,Sunday,Beef Burger,12,17
2024-12-01,Sunday,Vegan Wrap,12,12
2024-12-01,Sunday,Eggplant Parmesan,12,11
2024-12-01,Sunday,Pasta Primavera,12,15
2024-12-01,Sunday,Chicken Alfredo,12,12
2024-12-01,Sunday,Spaghetti Bolognese,13,9
2024-12-01,Sunday,Caesar Salad,13,16
2024-12-01,Sunday,Margherita Pizza,13,10
2024-12-01,Sunday,Chicken Curry,13,11
2024-12-01,Sunday,Grilled Salmon,13,20
2024-12-01,Sunday,Beef Burger,13,10
2024-12-01,Sunday,Vegan Wrap,13,8
2024-12-01,Sunday,Eggplant Parmesan,13,16
2024-12-01,Sunday,Pasta Primavera,13,20
2024-12-01,Sunday,Chicken Alfredo,13,20
2024-12-01,Sunday,Spaghetti Bolognese,14,4
2024-12-01,Sunday,Caesar Salad,14,6
2024-12-01,Sunday,Margherita Pizza,14,1
2024-12-01,Sunday,Chicken Curry,14,7
