Date,Day,Hour,Dish,Amount
01/01/25,Wednesday,0,Soup,1
01/01/25,Wednesday,0,Soup,6
01/01/25,Wednesday,0,Soup,5
01/01/25,Wednesday,0,Sandwich,8
01/01/25,Wednesday,0,Sandwich,4
01/01/25,Wednesday,0,Soup,9
01/01/25,Wednesday,0,Pizza,1
01/01/25,Wednesday,0,Sushi,10
01/01/25,Wednesday,1,Sandwich,2
01/01/25,Wednesday,1,Sushi,6
01/01/25,Wednesday,1,Sandwich,10
01/01/25,Wednesday,2,Pizza,9
01/01/25,Wednesday,2,Soup,3
01/01/25,Wednesday,2,Burger,10
01/01/25,Wednesday,2,Sushi,8
01/01/25,Wednesday,2,Curry,7
01/01/25,Wednesday,2,Tacos,10
01/01/25,Wednesday,2,Pizza,10
01/01/25,Wednesday,2,Sandwich,10
01/01/25,Wednesday,3,Curry,1
01/01/25,Wednesday,3,Soup,0
01/01/25,Wednesday,3,Tacos,7
01/01/25,Wednesday,3,Pizza,1
01/01/25,Wednesday,3,Sushi,4
01/01/25,Wednesday,3,Sandwich,10
01/01/25,Wednesday,4,Sandwich,9
01/01/25,Wednesday,4,Soup,0
01/01/25,Wednesday,4,Soup,0
01/01/25,Wednesday,4,Sandwich,6
01/01/25,Wednesday,4,Salad,3
01/01/25,Wednesday,4,Tacos,0
01/01/25,Wednesday,4,Sushi,3
01/01/25,Wednesday,5,Burger,3
01/01/25,Wednesday,5,Pizza,8
01/01/25,Wednesday,5,Sandwich,9
01/01/25,Wednesday,5,Pizza,0
01/01/25,Wednesday,5,Sushi,1
01/01/25,Wednesday,5,Sushi,5
01/01/25,Wednesday,5,Burger,8
01/01/25,Wednesday,5,Pizza,10
01/01/25,Wednesday,6,Tacos,1
01/01/25,Wednesday,6,Soup,0
01/01/25,Wednesday,6,Soup,5
01/01/25,Wednesday,6,Curry,6
01/01/25,Wednesday,6,Soup,10
01/01/25,Wednesday,6,Soup,0
01/01/25,Wednesday,6,Soup,1
01/01/25,Wednesday,7,Burger,10
01/01/25,Wednesday,7,Burger,1
01/01/25,Wednesday,7,Sandwich,2
01/01/25,Wednesday,7,Burger,9
01/01/25,Wednesday,7,Tacos,0
01/01/25,Wednesday,7,Tacos,10
01/01/25,Wednesday,7,Sandwich,1
01/01/25,Wednesday,7,Burger,0
01/01/25,Wednesday,8,Sandwich,1
01/01/25,Wednesday,8,Tacos,0
01/01/25,Wednesday,8,Salad,0
01/01/25,Wednesday,8,Salad,6
01/01/25,Wednesday,8,Curry,1
01/01/25,Wednesday,8,Sushi,1
01/01/25,Wednesday,8,Sandwich,5
01/01/25,Wednesday,8,Soup,1
01/01/25,Wednesday,9,Soup,0
01/01/25,Wednesday,9,Tacos,3
01/01/25,Wednesday,9,Curry,10
01/01/25,Wednesday,9,Sandwich,0
01/01/25,Wednesday,9,Sandwich,9
01/01/25,Wednesday,9,Sushi,6
01/01/25,Wednesday,9,Sandwich,0
01/01/25,Wednesday,10,Salad,4
01/01/25,Wednesday,10,Curry,1
01/01/25,Wednesday,10,Sushi,6
01/01/25,Wednesday,10,Sandwich,9
01/01/25,Wednesday,10,Tacos,6
01/01/25,Wednesday,11,Sushi,0
01/01/25,Wednesday,11,Sandwich,0
01/01/25,Wednesday,11,Curry,1
01/01/25,Wednesday,11,Curry,7
01/01/25,Wednesday,11,Soup,3
01/01/25,Wednesday,11,Soup,9
01/01/25,Wednesday,11,Tacos,1
01/01/25,Wednesday,12,Pizza,2
01/01/25,Wednesday,12,Tacos,3
01/01/25,Wednesday,12,Curry,9
01/01/25,Wednesday,12,Burger,3
01/01/25,Wednesday,13,Pizza,6
01/01/25,Wednesday,13,Burger,4
01/01/25,Wednesday,13,Pizza,7
01/01/25,Wednesday,13,Sushi,7
01/01/25,Wednesday,13,Burger,4
01/01/25,Wednesday,13,Tacos,0
01/01/25,Wednesday,13,Curry,9
01/01/25,Wednesday,14,Curry,0
01/01/25,Wednesday,14,Sandwich,5
01/01/25,Wednesday,14,Salad,4
01/01/25,Wednesday,14,Sandwich,7
01/01/25,Wednesday,14,Sandwich,2
01/01/25,Wednesday,14,Sandwich,2
01/01/25,Wednesday,15,Curry,8
01/01/25,Wednesday,15,Curry,2
01/01/25,Wednesday,15,Sandwich,5
01/01/25,Wednesday,15,Pizza,9
01/01/25,Wednesday,15,Salad,9
01/01/25,Wednesday,16,Soup,7
01/01/25,Wednesday,16,Burger,3
01/01/25,Wednesday,16,Salad,8
01/01/25,Wednesday,16,Sandwich,3
01/01/25,Wednesday,16,Soup,2
01/01/25,Wednesday,16,Tacos,2
01/01/25,Wednesday,16,Pizza,3
01/01/25,Wednesday,16,Curry,10
01/01/25,Wednesday,17,Salad,3
01/01/25,Wednesday,17,Sandwich,7
01/01/25,Wednesday,17,Sandwich,5
01/01/25,Wednesday,17,Pizza,0
01/01/25,Wednesday,17,Tacos,2
01/01/25,Wednesday,17,Sandwich,0
01/01/25,Wednesday,18,Burger,10
01/01/25,Wednesday,18,Pizza,1
01/01/25,Wednesday,18,Tacos,8
01/01/25,Wednesday,18,Sushi,8
01/01/25,Wednesday,18,Sandwich,6
01/01/25,Wednesday,19,Sandwich,0
01/01/25,Wednesday,19,Curry,7
01/01/25,Wednesday,19,Sandwich,6
01/01/25,Wednesday,19,Sandwich,3
01/01/25,Wednesday,19,Salad,10
01/01/25,Wednesday,19,Sandwich,5
01/01/25,Wednesday,19,Sandwich,2
01/01/25,Wednesday,20,Curry,9
01/01/25,Wednesday,20,Burger,3
01/01/25,Wednesday,20,Salad,7
01/01/25,Wednesday,20,Sandwich,3
01/01/25,Wednesday,20,Salad,9
01/01/25,Wednesday,20,Sandwich,1
01/01/25,Wednesday,20,Pizza,2
01/01/25,Wednesday,21,Sandwich,1
01/01/25,Wednesday,21,Soup,3
01/01/25,Wednesday,21,Sandwich,4
01/01/25,Wednesday,22,Sandwich,1
01/01/25,Wednesday,22,Pizza,8
01/01/25,Wednesday,22,Curry,10
01/01/25,Wednesday,22,Pizza,2
01/01/25,Wednesday,22,Sandwich,6
01/01/25,Wednesday,22,Sandwich,6
01/01/25,Wednesday,22,Burger,4
01/01/25,Wednesday,23,Sandwich,4
01/01/25,Wednesday,23,Tacos,9
01/01/25,Wednesday,23,Tacos,9
01/01/25,Wednesday,23,Sandwich,10
01/01/25,Wednesday,23,Pizza,0
02/01/25,Thursday,0,Sandwich,2
02/01/25,Thursday,0,Pizza,5
02/01/25,Thursday,0,Burger,2
02/01/25,Thursday,0,Salad,3
02/01/25,Thursday,0,Sandwich,2
02/01/25,Thursday,0,Pizza,3
02/01/25,Thursday,0,Burger,8
02/01/25,Thursday,1,Tacos,7
02/01/25,Thursday,1,Salad,3
02/01/25,Thursday,1,Sandwich,1
02/01/25,Thursday,2,Pizza,3
02/01/25,Thursday,2,Pizza,5
02/01/25,Thursday,2,Burger,0
02/01/25,Thursday,3,Curry,6
02/01/25,Thursday,3,Pizza,0
02/01/25,Thursday,3,Salad,3
02/01/25,Thursday,3,Salad,7
02/01/25,Thursday,4,Burger,0
02/01/25,Thursday,4,Curry,2
02/01/25,Thursday,4,Burger,10
02/01/25,Thursday,4,Curry,6
02/01/25,Thursday,4,Sandwich,9
02/01/25,Thursday,4,Tacos,8
02/01/25,Thursday,5,Salad,5
02/01/25,Thursday,5,Soup,1
02/01/25,Thursday,5,Curry,7
02/01/25,Thursday,6,Sushi,0
02/01/25,Thursday,6,Tacos,7
02/01/25,Thursday,6,Sushi,0
02/01/25,Thursday,7,Sandwich,10
02/01/25,Thursday,7,Pizza,7
02/01/25,Thursday,7,Sandwich,10
02/01/25,Thursday,7,Soup,7
02/01/25,Thursday,7,Burger,7
02/01/25,Thursday,7,Soup,6
02/01/25,Thursday,8,Curry,7
02/01/25,Thursday,8,Sushi,1
02/01/25,Thursday,8,Tacos,1
02/01/25,Thursday,8,Pizza,2
02/01/25,Thursday,9,Burger,8
02/01/25,Thursday,9,Sandwich,5
02/01/25,Thursday,9,Pizza,2
02/01/25,Thursday,9,Salad,2
02/01/25,Thursday,9,Burger,9
02/01/25,Thursday,10,Curry,7
02/01/25,Thursday,10,Pizza,10
02/01/25,Thursday,10,Pizza,9
02/01/25,Thursday,10,Sandwich,7
02/01/25,Thursday,10,Burger,10
02/01/25,Thursday,11,Salad,10
02/01/25,Thursday,11,Pizza,10
02/01/25,Thursday,11,Salad,9
02/01/25,Thursday,11,Sandwich,2
02/01/25,Thursday,12,Salad,0
02/01/25,Thursday,12,Sandwich,7
02/01/25,Thursday,12,Pizza,0
02/01/25,Thursday,12,Salad,4
02/01/25,Thursday,13,Sandwich,0
02/01/25,Thursday,13,Tacos,7
02/01/25,Thursday,13,Burger,1
02/01/25,Thursday,13,Soup,9
02/01/25,Thursday,14,Sandwich,2
02/01/25,Thursday,14,Soup,8
02/01/25,Thursday,14,Soup,7
